Entrenamiento,Email,Precios US,Ubicacion,Incluye pasantia,Metodo de pago,Estatus laboral,Razon de eleccion del bootcamp,Proveedores de bootcamp,Horario de los bootcamps,Egresado_Activo,Egresado_Egresado,Egresado_Retirado,Primer contacto_Instagram,Primer contacto_WhatsApp,Condiciones de pago_Completo,Condiciones de pago_Cuotas
Bootcamp en Desarrollo Web con C#,gmail.com,2900.0,La Altagracia,0,Transferencia,1,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web con C#,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,3450.0,Santo Domingo Oeste,1,Transferencia,1,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,0.0,1.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,3450.0,Distrito Nacional,1,Transferencia,1,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,3450.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,3450.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,3450.0,Distrito Nacional,1,Transferencia,1,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,0.0,1.0,1.0,0.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,hotmail.com,3450.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,3450.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,hotmail.com,3450.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,hotmail.com,3450.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,3450.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Lunes, martes, miércoles y jueves",1.0,0.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,hotmail.com,2900.0,Santiago De Los Caballeros,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,hotmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Boca Chica,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,0.0,1.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,live.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,San Cristóbal,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,hotmail.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,0.0,1.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Santiago De Los Caballeros,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,0.0,1.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,hotmail.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,1.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,outlook.com,2900.0,San Cristóbal,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,2900.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Martes, Jueves y Sábados",1.0,0.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,2900.0,Paraíso,1,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Martes, Jueves y Sábados",1.0,0.0,0.0,0.0,1.0,0.0,1.0
Diseño UI/UX,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y jueves de 7:00 pm a 9:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Diseño UI/UX,hotmail.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y jueves de 7:00 pm a 9:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Distrito Nacional,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Santo Domingo Norte,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",0.0,0.0,1.0,1.0,0.0,0.0,1.0
Bootcamp en Ciberseguridad,gmail.com,2900.0,Santo Domingo Norte,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 8:00 pm a 10:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Diseño UI/UX,gmail.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y jueves de 7:00 pm a 9:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Bajos de Haina,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,2900.0,Santo Domingo Este,0,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Luner, miércoles y viernes de 8: pm a 10:00 pm",1.0,0.0,0.0,1.0,0.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,2900.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Martes, Jueves y Sábados",1.0,0.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,hotmail.com,2900.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Martes, Jueves y Sábados",1.0,0.0,0.0,0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,hotmail.com,2900.0,Distrito Nacional,1,Transferencia,0,Aprender algo nuevo,Maestros de Talendig,"Martes, Jueves y Sábados",1.0,0.0,0.0,0.0,1.0,0.0,1.0
